review_id,booking_id,rating,review_text,review_date
1,1,5,"Absolutely unforgettable trip, our guide was fantastic!",2025-01-12
2,3,4,"Really enjoyed it, minor logistics hiccups but great overall.",2024-10-29
3,6,5,"Absolutely unforgettable trip, our guide was fantastic!",2024-04-28
4,10,5,"Absolutely unforgettable trip, our guide was fantastic!",2024-09-22
5,14,4,"Really enjoyed it, minor logistics hiccups but great overall.",2023-12-04
6,21,5,"Absolutely unforgettable trip, our guide was fantastic!",2023-06-30
7,22,3,"Solid trip, met expectations.",2025-08-05
8,23,3,"Solid trip, met expectations.",2025-02-04
9,25,4,"Really enjoyed it, minor logistics hiccups but great overall.",2023-08-20
10,32,4,"Really enjoyed it, minor logistics hiccups but great overall.",2024-05-21
11,33,5,"Absolutely unforgettable trip, our guide was fantastic!",2023-08-21
12,35,5,"Absolutely unforgettable trip, our guide was fantastic!",2023-09-08
13,36,4,"Really enjoyed it, minor logistics hiccups but great overall.",2023-05-28
14,37,4,"Really enjoyed it, minor logistics hiccups but great overall.",2023-05-25
15,40,4,"Really enjoyed it, minor logistics hiccups but great overall.",2025-02-01
16,44,3,"Solid trip, met expectations.",2023-06-17
17,45,5,"Absolutely unforgettable trip, our guide was fantastic!",2024-01-28
18,46,5,"Absolutely unforgettable trip, our guide was fantastic!",2024-07-23
19,48,5,"Absolutely unforgettable trip, our guide was fantastic!",2023-11-04
20,49,2,"Some parts felt disorganized, would hesitate to rebook.",2023-11-28
21,50,5,"Absolutely unforgettable trip, our guide was fantastic!",2025-03-23
22,51,5,"Absolutely unforgettable trip, our guide was fantastic!",2025-06-11
23,52,5,"Absolutely unforgettable trip, our guide was fantastic!",2023-03-03
24,54,5,"Absolutely unforgettable trip, our guide was fantastic!",2024-08-24
25,55,4,"Really enjoyed it, minor logistics hiccups but great overall.",2024-08-06
26,56,4,"Really enjoyed it, minor logistics hiccups but great overall.",2024-04-23
27,60,3,"Solid trip, met expectations.",2025-04-04
28,61,4,"Really enjoyed it, minor logistics hiccups but great overall.",2023-11-13
29,63,5,"Absolutely unforgettable trip, our guide was fantastic!",2023-09-12
30,64,3,"Solid trip, met expectations.",2023-07-14
31,66,5,"Absolutely unforgettable trip, our guide was fantastic!",2023-10-03
32,70,2,"Some parts felt disorganized, would hesitate to rebook.",2025-01-14
33,72,4,"Really enjoyed it, minor logistics hiccups but great overall.",2024-05-31
34,73,4,"Really enjoyed it, minor logistics hiccups but great overall.",2024-06-17
35,74,5,"Absolutely unforgettable trip, our guide was fantastic!",2024-12-18
36,75,5,"Absolutely unforgettable trip, our guide was fantastic!",2024-01-11
37,80,4,"Really enjoyed it, minor logistics hiccups but great overall.",2023-11-23
38,82,5,"Absolutely unforgettable trip, our guide was fantastic!",2023-09-18
39,87,5,"Absolutely unforgettable trip, our guide was fantastic!",2025-04-23
40,89,5,"Absolutely unforgettable trip, our guide was fantastic!",2024-04-27
